stock,0,0.236,0.382,0.5,0.618,0.786,1,1.236,1.618,0,0.236,0.382,0.5,0.618,0.786,1,1.236,1.618
AARTIIND,515.55,549.99,571.3,588.52,605.75,630.27,661.5,695.94,751.7,558.1,582.5,597.6,609.8,622,639.37,661.5,685.9,725.4
ABB,4195.55,4375.25,4486.42,4576.27,4666.13,4794.05,4957,5136.7,5427.58,4529.1,4630.08,4692.56,4743.05,4793.54,4865.43,4957,5057.98,5221.44
ABBOTINDIA,22000,22512.88,22830.16,23086.6,23343.04,23708.14,24173.2,24686.08,25516.24,22000,22248.39,22402.06,22526.25,22650.44,22827.26,23052.5,23300.89,23702.94
ABCAPITAL,155,161.58,165.66,168.95,172.24,176.93,182.9,189.48,200.14,155,157.99,159.83,161.32,162.82,164.94,167.65,170.64,175.47
ABFRL,212.45,220.13,224.88,228.72,232.57,238.03,245,252.68,265.12,215.4,220.64,223.88,226.5,229.12,232.85,237.6,242.84,251.32
ACC,1803,1909.44,1975.28,2028.5,2081.72,2157.49,2254,2360.44,2532.72,2046.05,2095.13,2125.49,2150.02,2174.56,2209.5,2254,2303.08,2382.51
ADANIENT,2142,2380.96,2528.79,2648.28,2767.76,2937.86,3154.55,3393.51,3780.31,2725,2796.45,2840.65,2876.38,2912.1,2962.96,3027.75,3099.2,3214.85
ADANIPORTS,785,859.91,906.25,943.7,981.15,1034.48,1102.4,1177.31,1298.55,989.25,1015.95,1032.47,1045.82,1059.18,1078.19,1102.4,1129.1,1172.33
ALKEM,4300.3,4516.58,4650.38,4758.52,4866.67,5020.63,5216.75,5433.03,5783.12,4791.55,4891.9,4953.98,5004.15,5054.32,5125.76,5216.75,5317.1,5479.52
AMBUJACEM,408.6,437.84,455.93,470.55,485.17,505.99,532.5,561.74,609.07,480.45,492.73,500.33,506.48,512.62,521.36,532.5,544.78,564.67
APOLLOHOSP,5201.75,5335.86,5418.82,5485.88,5552.93,5648.39,5770,5904.11,6121.18,5284.85,5399.35,5470.18,5527.42,5584.67,5666.18,5770,5884.5,6069.82
APOLLOTYRE,413.95,430.72,441.09,449.48,457.86,469.8,485,501.77,528.91,419.25,434.77,444.37,452.12,459.88,470.93,485,500.52,525.63
ASHOKLEY,165.25,169.86,172.72,175.02,177.33,180.62,184.8,189.41,196.88,165.25,169.44,172.03,174.12,176.22,179.2,183,187.19,193.97
ASIANPAINT,3078.7,3159.94,3210.2,3250.82,3291.45,3349.28,3422.95,3504.19,3635.7,3242,3284.7,3311.12,3332.48,3353.83,3384.23,3422.95,3465.65,3534.78
ASTRAL,1823.55,1868.84,1896.86,1919.5,1942.14,1974.38,2015.45,2060.74,2134.04,1823.55,1859.68,1882.03,1900.1,1918.17,1943.89,1976.65,2012.78,2071.27
ATUL,6473.9,6644.79,6750.51,6835.95,6921.39,7043.04,7198,7368.89,7645.49,6744,6851.14,6917.43,6971,7024.57,7100.84,7198,7305.14,7478.57
AUBANK,710.1,731.04,744,754.48,764.95,779.86,798.85,819.8,853.7,730.05,746.29,756.33,764.45,772.57,784.13,798.85,815.09,841.37
AUROPHARMA,959,992.25,1012.82,1029.45,1046.08,1069.75,1099.9,1133.15,1186.98,998.55,1022.47,1037.27,1049.22,1061.18,1078.21,1099.9,1123.82,1162.53
AXISBANK,980.35,1020.82,1045.86,1066.1,1086.34,1115.15,1151.85,1192.32,1257.84,1077.2,1089.15,1096.55,1102.53,1108.5,1117.01,1127.85,1139.8,1159.15
BAJAJ-AUTO,5461.1,5785.09,5985.53,6147.52,6309.52,6540.16,6833.95,7157.94,7682.37,6232,6374.06,6461.94,6532.98,6604.01,6705.13,6833.95,6976.01,7205.96
BAJAJFINSV,1539.05,1586.71,1616.19,1640.02,1663.86,1697.78,1741,1788.66,1865.81,1637.05,1661.58,1676.76,1689.02,1701.29,1718.75,1741,1765.53,1805.24
BAJFINANCE,6931.25,7111.5,7223,7313.12,7403.25,7531.56,7695,7875.24,8167,7145.25,7274.99,7355.25,7420.12,7485,7577.35,7695,7824.74,8034.75
BALKRISIND,2407.5,2472.46,2512.65,2545.12,2577.6,2623.85,2682.75,2747.71,2852.85,2407.5,2460.48,2493.26,2519.75,2546.24,2583.96,2632,2684.98,2770.74
BALRAMCHIN,376.2,402.09,418.11,431.05,443.99,462.42,485.9,511.79,553.69,379.1,388.43,394.21,398.88,403.54,410.19,418.65,427.98,443.09
BANDHANBNK,211.4,221.95,228.48,233.75,239.02,246.53,256.1,266.65,283.72,232.95,238.41,241.79,244.52,247.26,251.15,256.1,261.56,270.41
BANKBARODA,192.75,202.95,209.25,214.35,219.45,226.71,235.95,246.15,262.65,215.1,220.02,223.06,225.52,227.99,231.49,235.95,240.87,248.84
